sentiment_bucket,days,trades,active_accounts,gross_pnl,net_pnl,avg_daily_pnl,median_daily_pnl,win_rate,avg_trade_size_usd,exposure_proxy,long_short_ratio
Greed,307,90295,3.824104234527687,4865300.583624,4775171.226179682,15847.884637211726,1008.619956,0.8418909371815233,5872.0256768605095,12.758165140939635,0.6827598964113948
Fear,105,83237,7.523809523809524,4096265.690132,3979920.1075184583,39012.05419173333,1876.812082,0.8451192590526513,6199.962860700517,57.48454881728086,1.3760582324550992
Neutral,67,37686,5.611940298507463,1292920.67555,1253546.4072461291,19297.323515671644,1818.573295,0.7937897168589677,7157.527121411409,35.785789851599816,1.333965844402277
