Account,sentiment_bucket,days,trades,gross_pnl,win_rate,avg_trade_size_usd
0x083384f897ee0f19899168e3b1bec365f52a9012,Fear,7,1878,1238142.768956,0.9557181363111281,18095.254182197787
0x083384f897ee0f19899168e3b1bec365f52a9012,Greed,12,1519,236436.93428299998,0.4941381113256113,33402.2925925064
0x083384f897ee0f19899168e3b1bec365f52a9012,Neutral,5,421,125650.11674,1.0,55632.83259673382
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Fear,20,2792,-5893.889851999998,0.6689282607939325,8063.947871364714
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Greed,27,3768,65712.290491,0.9041149915701372,2052.4703207191205
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Neutral,5,720,-11933.080125,0.6,2003.1104572230565
0x271b280974205ca63b716753467d5a371de622ab,Fear,5,2665,46828.795401999996,0.9597147950089127,8350.89435951797
0x271b280974205ca63b716753467d5a371de622ab,Greed,5,545,-98226.646159,0.8056295399515738,15349.971653091683
0x271b280974205ca63b716753467d5a371de622ab,Neutral,2,599,-19038.340561,0.0,7090.54547979798
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Fear,54,1973,-12243.487425000001,0.8393707389014539,594.1705364920418
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,83,10451,139202.552615,0.8991218360181111,372.97110513470636
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Neutral,25,887,5505.749364,0.9198852816125361,620.1185982992204
0x2c229d22b100a7beb69122eed721cee9b24011dd,Fear,15,493,15394.438558999998,0.884873949579832,1216.5910758447667
0x2c229d22b100a7beb69122eed721cee9b24011dd,Greed,46,1731,110970.723359,0.7256142636805819,2900.116999234961
0x2c229d22b100a7beb69122eed721cee9b24011dd,Neutral,8,1015,42292.843076000005,0.7372864281108962,3069.3734345556372
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Fear,15,519,-57434.884669,0.5741627078032607,925.6105919690668
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Greed,22,263,27460.191787,0.713963963963964,2336.474223023742
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Neutral,6,33,-1228.907104,0.75,680.5670202020202
0x39cef799f8b69da1995852eea189df24eb5cae3c,Fear,18,3139,-21494.473744000006,0.8508049962621537,54195.74994711874
0x39cef799f8b69da1995852eea189df24eb5cae3c,Greed,22,178,24998.14512,0.7564102564102565,8815.808923869989
0x39cef799f8b69da1995852eea189df24eb5cae3c,Neutral,6,272,10953.24796,1.0,21200.327090914958
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Fear,7,98,4367.112673,1.0,12770.106700401799
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Greed,19,232,41109.971474000005,1.0,6401.279476059467
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Neutral,2,2,8019.163096,1.0,31867.690000000002
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Fear,7,159,109109.360637,1.0,7446.895638345826
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Greed,10,176,16102.56859,1.0,10030.576773665223
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Neutral,3,48,74293.663505,1.0,4753.736002020202
0x430f09841d65beb3f27765503d0f850b8bce7713,Fear,12,316,5615.052102,1.0,1067.2211674347373
0x430f09841d65beb3f27765503d0f850b8bce7713,Greed,11,787,351965.440509,1.0,4223.164184391986
0x430f09841d65beb3f27765503d0f850b8bce7713,Neutral,5,134,58961.37973,1.0,2293.005453301127
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Fear,47,1315,-4527.9582900000005,0.7457132024442942,539.15079942642
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Greed,71,6548,103842.432763,0.8512153451199096,521.0749667573352
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Neutral,26,656,4029.241688,0.8179562178260933,463.86033996223534
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Fear,32,2382,463478.12234400003,0.9071837253655435,18477.051648135584
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Greed,17,1302,116888.837368,0.8747086247086246,16451.525449296605
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Neutral,9,672,97380.09093100001,1.0,6499.161194025418
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Fear,74,1527,55220.388542,0.9455782312925171,17231.51015053501
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Greed,196,4780,208241.157953,0.9613112073262673,15554.345200651094
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Neutral,51,1277,45514.323221,0.9712488129154795,16167.864744996652
